contig	pos	pvalue	adjust
21	70216	7.4812240526499e-16	9.07580955335197e-10
21	70803	7.80879169831641e-09	0.00947319660485407
21	71059	7.4812240526499e-16	9.07580955335197e-10
21	73439	3.50275796020414e-12	4.24935330563185e-06
21	73748	3.32513974884333e-10	0.000403387666061054
21	74673	1.32519079263717e-09	0.00160764858413382
21	75184	6.16742036008043e-10	0.000748197517272978
21	75201	1.01026130473053e-09	0.00122559345052732
21	75304	1.64711266125481e-09	0.00199818648943797
21	7535	1.11977617486141e-17	1.35845086765225e-11
21	76369	3.19469076470112e-08	0.0387562312774333
21	86653	5.98304024017178e-09	0.00725829535216319
21	8892	1.78714170043232e-08	0.0216806201817097
21	9204	5.48403289455954e-17	6.65292708587043e-11
21	93384	3.21755544045183e-09	0.00390336129480694
23	11974	1.69140840707999e-09	0.00205192365200705
23	73201	1.17078200567301e-08	0.0142032833627218
24	102234	4.50135947371401e-09	0.00546080173873879
24	55751	1.19939041800429e-08	0.0145503448864982
25	23114	1.17457754330986e-08	0.0142493287377864
25	24347	3.51598116663337e-16	4.26539497239544e-10
25	75006	2.28153827421756e-16	2.76783674967566e-10
26	122393	3.98510063170946e-08	0.0483450490585517
26	122402	3.98510063170946e-08	0.0483450490585517
26	184328	3.28714024003175e-09	0.00398777774649331
26	229128	6.18689459430659e-09	0.00750560024261007
26	254123	3.4409281482624e-08	0.0417434477842379
26	255139	6.2287184716706e-09	0.00755633867031483
26	265804	1.38208756736896e-09	0.00167667262191582
26	266152	4.81957129011388e-10	0.00058468388127452
26	266247	4.81957129011388e-10	0.00058468388127452
26	269992	5.59596918065287e-10	0.000678872203166312
26	272463	4.13563971281231e-12	5.01713063939969e-06
26	275018	2.49326207355622e-08	0.0302468841822436
26	60902	1.45131678845377e-08	0.0176065770532875
26	61021	1.45131678845377e-08	0.0176065770532875
26	61022	1.45131678845377e-08	0.0176065770532875
26	61105	1.45131678845377e-08	0.0176065770532875
26	61273	2.07272393768492e-08	0.0251451468138277
27	23114	2.98990107347629e-09	0.00362718353778239
27	23241	2.28393113069492e-10	0.000277073963154689
29	145300	3.44020158192258e-08	0.0417346334810147
29	200414	2.34257579993907e-09	0.00284188411881708
29	25425	3.15070475986843e-19	3.82226172591059e-13
29	26681	2.6134714806688e-12	3.17051985941595e-06
29	30880	3.88026544127151e-09	0.00470732461875132
29	33830	3.43586720135966e-08	0.0416820511599346
29	47601	9.204874064673e-13	1.11668469471877e-06
29	79023	2.52998337938785e-09	0.00306923668678747
29	82240	4.12667746568275e-19	5.0062581341057e-13
29	82321	1.95592232871705e-11	2.37281739347144e-05
31	23183	8.11602096977344e-10	0.00098459102593758
31	71130	6.03658573277863e-10	0.000732325379879173
31	93077	2.69298124227132e-10	0.000326697672915525
31	96820	4.38476357442052e-09	0.00531935400649038
33	69343	2.34075537009852e-17	2.83967567345817e-11
34	12025	1.19597734277409e-08	0.0145089393349967
34	13052	1.9535945501737e-08	0.0236999346057048
36	27453	1.08498631313393e-10	0.000131624572084686
36	41645	7.76848261838381e-20	9.42429584607923e-14
36	41765	1.50134898522918e-08	0.0182135401468585
36	42132	3.71645932798793e-11	4.50860405145191e-05
36	7368	1.9402206449672e-08	0.0235376897433873
38	151200	2.35823461580624e-08	0.0286088053299226
38	68453	1.18191205205739e-09	0.00143383069639316
38	68468	5.64658535542291e-19	6.85012679100452e-13
40	10286	3.40188069856756e-09	0.00412697456006374
40	103696	7.56060868119638e-11	9.17211461854998e-05
40	176354	9.06141670724145e-13	1.09928123713064e-06
40	199359	4.6189518023756e-11	5.60345828429295e-05
40	209978	3.7363997475717e-16	4.53279467176787e-10
40	210473	8.82653674919252e-14	1.07078689245992e-07
40	232509	3.47802839544994e-08	0.0421935275779811
40	266260	1.80630711811853e-09	0.0021913124488099
40	266295	4.31213562862464e-09	0.00523124577718784
40	266733	1.51469934610408e-10	0.000183754993822943
40	288231	1.8942719354468e-18	2.29802652712761e-12
40	294832	7.01435326413731e-16	8.50942759062186e-10
40	45403	1.11309132363878e-09	0.00135034117381576
40	69051	2.40986681901605e-09	0.00292351788215523
40	75553	1.05664130509669e-08	0.0128185911607153
40	79611	5.73399733264173e-11	6.95617019410765e-05
40	83505	1.08889601394356e-15	1.32098875483556e-09
42	46894	6.61035327612798e-10	0.000801931702516828
42	56196	3.38789274673586e-12	4.11000514623888e-06
42	84498	1.90418778452445e-11	2.31005588985692e-05
43	25755	1.68161680972003e-11	2.04004502462781e-05
43	25775	1.01635678779031e-09	0.00123298815532388
43	25789	1.68161680972003e-11	2.04004502462781e-05
43	25793	1.68161680972003e-11	2.04004502462781e-05
43	30150	2.29638736843806e-09	0.00278585085408379
43	34212	1.73027241574565e-11	2.09907132979976e-05
44	11692	8.83864842190225e-09	0.0107225621397886
44	17978	5.86506446703507e-18	7.11517363286126e-12
45	8092	1.09564676370175e-09	0.00132917839315096
46	24218	7.19391272827277e-09	0.00872725925674047
46	30092	1.12381945522747e-11	1.36335595301192e-05
47	114848	2.1427723267211e-17	2.59949353430007e-11
47	133944	1.1111263173469e-09	0.0013479573362578
47	136797	1.87662420172647e-13	2.27661726720346e-07
47	154358	3.48418239170701e-09	0.0042268184475874
47	232540	3.15606021750656e-09	0.00382875867256699
47	304788	2.13976118942959e-10	0.000259584058815056
48	11156	8.83787779623513e-18	1.07216272591137e-11
48	11165	8.83787779623513e-18	1.07216272591137e-11
48	17760	7.17694889659402e-09	0.00870667966915855
48	33190	2.85507250102152e-09	0.00346361692925175
49	6684	4.26739963895107e-09	0.00517697453499529
50	13219	1.25886199431342e-10	0.000152718213409135
50	13695	7.621094761753e-11	9.24549300474684e-05
50	9292	3.40001622942288e-09	0.00412471268864322
50	9425	6.6129423642237e-09	0.00802245796444616
51	16745	1.14157477545029e-10	0.000138489573096364
51	17381	8.34440258436071e-20	1.01229702732043e-13
52	52589	2.76919568350436e-15	3.35943589746489e-09
52	52869	2.10366219707384e-15	2.55204727606915e-09
52	53717	9.30046761910753e-11	0.000112828157897822
52	55255	2.46685123808216e-08	0.0299264824522319
52	55367	3.30855004567244e-09	0.00401375094515729
52	64328	2.32238601371125e-08	0.0281739098060374
53	119190	7.17201104830927e-11	8.70068934320115e-05
53	16834	5.91796255778279e-11	7.1793466871614e-05
53	2113	1.46933470602247e-14	1.78251605193763e-08
53	23758	4.12539351261886e-13	5.004700512866e-07
53	26622	9.86354485119808e-12	1.19659101185067e-05
53	26644	9.86354485119808e-12	1.19659101185067e-05
53	27370	4.32502915191648e-18	5.24688749050172e-12
53	28488	5.30358998892638e-16	6.4340236771161e-10
53	28491	2.07246676908397e-09	0.00251420269858038
53	29258	1.50586698131652e-09	0.00182683499904923
53	29273	1.50586698131652e-09	0.00182683499904923
53	29325	4.50468994125703e-25	5.46484207878626e-19
53	48265	1.41834706879268e-08	0.017206606547705
53	49073	3.10792020354756e-08	0.037703578553327
53	51887	1.79638437604917e-08	0.0217927472388218
53	55740	2.46089397832004e-12	2.98542122532907e-06
53	55743	2.46089397832004e-12	2.98542122532907e-06
53	59374	1.89613392444834e-25	2.30028538977488e-19
53	59484	1.11588777410094e-15	1.35373367371168e-09
53	90279	1.19136874443234e-20	1.44530303546438e-14
53	93698	1.39715305598084e-08	0.0169494924409788
53	94202	1.08290410244755e-10	0.000131371969736374
54	132957	6.21335609454084e-13	7.53770187931175e-07
54	139600	2.44437151447411e-11	2.96537708092669e-05
54	154692	3.0287790421995e-11	3.67434815114911e-05
54	155111	7.8218322001728e-17	9.48901662447863e-11
54	96027	2.36129271535638e-08	0.0286459045117101
54	96166	2.36129271535638e-08	0.0286459045117101
55	118	1.10335831372904e-16	1.33853362150881e-10
55	1186	1.699617455761e-18	2.06188241836918e-12
55	1189	1.699617455761e-18	2.06188241836918e-12
55	126	1.10335831372904e-16	1.33853362150881e-10
55	129	1.10335831372904e-16	1.33853362150881e-10
55	1349	1.699617455761e-18	2.06188241836918e-12
55	1425	1.699617455761e-18	2.06188241836918e-12
55	1465	1.699617455761e-18	2.06188241836918e-12
55	1527	1.699617455761e-18	2.06188241836918e-12
55	1663	1.699617455761e-18	2.06188241836918e-12
55	1827	2.95613743134652e-16	3.58622334415088e-10
55	1939	1.699617455761e-18	2.06188241836918e-12
55	2123	1.699617455761e-18	2.06188241836918e-12
55	2216	1.699617455761e-18	2.06188241836918e-12
55	2398	1.699617455761e-18	2.06188241836918e-12
55	2444	1.699617455761e-18	2.06188241836918e-12
55	2518	1.699617455761e-18	2.06188241836918e-12
55	2656	1.699617455761e-18	2.06188241836918e-12
55	2851	1.699617455761e-18	2.06188241836918e-12
55	2889	1.699617455761e-18	2.06188241836918e-12
55	2988	1.699617455761e-18	2.06188241836918e-12
55	3075	1.699617455761e-18	2.06188241836918e-12
55	313	1.699617455761e-18	2.06188241836918e-12
55	499	1.699617455761e-18	2.06188241836918e-12
55	521	1.699617455761e-18	2.06188241836918e-12
55	843	1.699617455761e-18	2.06188241836918e-12
55	890	9.74871608068282e-16	1.18266061697e-09
55	940	1.699617455761e-18	2.06188241836918e-12
55	987	1.699617455761e-18	2.06188241836918e-12
56	107339	1.36273934032108e-08	0.0165320041701382
56	117354	4.47002170337226e-12	5.42278447933754e-06
56	118362	4.47002170337226e-12	5.42278447933754e-06
56	19556	3.44116577120475e-09	0.00417463304950819
56	34710	3.41571267514811e-08	0.0414375475329255
56	38856	2.72475713938331e-09	0.00330552549985717
56	40045	3.50964564608312e-10	0.000425770906731751
56	55952	1.22614693765891e-10	0.000148749402668622
56	57798	3.79968132810413e-08	0.0460956440478289
56	65041	1.52033278333714e-25	1.84438411444153e-19
56	65044	1.52033278333714e-25	1.84438411444153e-19
56	7649	1.78558218033788e-12	2.16617009416599e-06
57	21814	1.78253288931232e-15	2.1624708620048e-09
57	257311	6.8535431522781e-10	0.000831434160747041
57	263847	3.55285933064043e-29	4.31013353266978e-23
57	264423	3.28565468897505e-12	3.98597555765663e-06
57	275894	3.11307649232556e-09	0.00377661318128229
57	29201	5.47680415856967e-10	0.0006644157580948
57	33167	2.1553401390874e-20	2.61474011303319e-14
57	35133	1.75441606157351e-09	0.0021283610730176
57	365446	5.52065053071417e-11	6.69734958808324e-05
57	365487	5.52065053071417e-11	6.69734958808324e-05
57	3912	4.08607862668086e-08	0.0495700585556475
57	75962	2.15274971200148e-10	0.000261159754936604
57	76473	1.8784271110637e-09	0.00227880445765138
58	12819	6.3181538833493e-09	0.00766483679281579
58	24346	3.28505370925375e-08	0.0398524648211264
58	24927	1.33649962546245e-08	0.0162136783813165
58	25001	3.5060810142204e-08	0.0425338465199641
59	10540	4.23115245026628e-09	0.00513300143927829
59	18319	2.69050530168495e-09	0.00326397305421259
59	24511	1.6025889510738e-08	0.0194417277305043
60	109552	4.54995384347327e-19	5.51975375544038e-13
60	113256	9.01537522991159e-11	0.000109369573832911
60	113319	5.1693687599995e-10	0.00062711938643496
60	113334	9.01537522991159e-11	0.000109369573832911
60	113695	9.7610617864244e-15	1.18415833008918e-08
60	113934	9.7610617864244e-15	1.18415833008918e-08
60	27502	1.51295075507034e-08	0.0183542864375981
60	45134	1.79705259761632e-19	2.18008537353525e-13
60	45326	2.07129999746887e-15	2.51278723542938e-09
60	69428	4.15473351780742e-11	5.04029419346049e-05
60	69914	8.64842106516478e-11	0.000104917887730993
60	99332	7.9178586432562e-26	9.60551062377304e-20
60	99557	3.68686873738633e-30	4.47270637441654e-24
61	8414	3.13718216628971e-08	0.0380585685912354
63	52133	1.47954400621832e-13	1.79490141342373e-07
63	70729	3.35388753340919e-11	4.06875189171769e-05
64	32256	1.76686362859283e-09	0.00214346177670925
64	52448	1.24913135106025e-11	1.51537745288198e-05
64	62840	1.88078611173267e-13	2.28166626751793e-07
64	85031	5.63907499167322e-09	0.00684101563077341
64	85334	4.36057208275007e-09	0.00529000621932783
66	3913	1.94892544075529e-08	0.0236432915382507
66	49003	7.08477932173857e-10	0.000859486461027054
70	2386	5.42645181004516e-17	6.58307288109724e-11
70	30625	4.73196512818851e-10	0.000574055983543626
70	36702	1.37407983648632e-11	1.6669580832342e-05
70	7021	3.8116962811343e-13	4.62414028497667e-07
73	11991	1.04642183041189e-08	0.0126946141145503
73	12467	1.0751477746456e-08	0.0130431014707244
73	12693	3.23573488483955e-09	0.00392541559686868
73	12724	2.27190635920773e-09	0.00275615184014106
73	13255	1.81509304233829e-09	0.00220197104884749
73	160999	1.45087203409645e-08	0.0176011815380393
73	16651	1.10098309755463e-11	1.33565213988291e-05
73	17002	3.97795676909552e-11	4.82583836464439e-05
73	18002	5.11204668945791e-11	6.20165388108242e-05
73	18171	3.42130893536084e-10	0.000415054382838832
73	18495	2.82190114191344e-11	3.42337526080658e-05
73	18704	3.00958955123233e-12	3.65106851612974e-06
73	19602	1.2994497594468e-12	1.57642097842409e-06
73	20047	1.60076140233146e-12	1.9419556914314e-06
73	20269	2.9786398775671e-11	3.61352207427113e-05
73	20341	4.13897198858998e-11	5.02117317309799e-05
73	20368	3.26366649886938e-12	3.9593006947709e-06
73	20383	8.81179862836732e-12	1.06899894470107e-05
73	20515	5.08905914819514e-11	6.1737666603372e-05
73	20665	5.08905914819514e-11	6.1737666603372e-05
73	21032	2.40110094961874e-11	2.91288361152523e-05
73	21525	3.39967636802969e-09	0.00412430038749338
73	21768	5.43168898147565e-11	6.58942632943227e-05
73	21952	5.43168898147565e-11	6.58942632943227e-05
73	22309	1.14340828368331e-11	1.38712004230899e-05
73	22477	2.23887956879936e-10	0.00027160855544911
73	23540	1.48483737905678e-12	1.80132304221583e-06
73	309010	4.70753339133165e-11	5.71092059602703e-05
73	315701	8.50977201405834e-16	1.03235873699948e-09
73	318379	2.35528244404347e-08	0.0285729912057911
73	318410	7.12280422489274e-10	0.00086409943314075
73	320552	4.5040849241342e-10	0.000546410810528879
73	321031	2.94475177693496e-13	3.57241089442976e-07
73	321126	1.09529916982989e-11	1.32875671138328e-05
73	323897	9.33857402381604e-09	0.0113290443841223
73	323925	5.87401312895636e-16	7.12602965732776e-10
73	324052	5.87401312895636e-16	7.12602965732776e-10
73	324693	1.69156550907719e-16	2.05211423950945e-10
73	325788	2.72825933139433e-13	3.30977416658437e-07
73	327095	1.93073940406439e-12	2.3422668543437e-06
73	81291	2.08610587254277e-10	0.00025307489087459
74	26145	1.4121203294307e-09	0.00171310671704721
75	22665	4.38061124633009e-10	0.000531431663042912
75	22679	4.38061124633009e-10	0.000531431663042912
75	59007	5.7999445902974e-10	0.000703617377999634
75	59421	4.59582000000369e-11	5.57539605390447e-05
77	101195	1.31481619823721e-08	0.0159506269681048
77	139546	8.92923912064973e-29	1.08324617930206e-22
77	140795	3.10867406427362e-35	3.77127239770322e-29
77	143071	1.01963481170849e-11	1.2369648736501e-05
77	143102	1.01963481170849e-11	1.2369648736501e-05
77	176613	1.17836595669181e-08	0.0142952876853088
77	188339	3.64169025812185e-09	0.00441789832818924
77	197141	5.90939194870167e-09	0.00716894929560769
77	200612	3.56324846503084e-12	4.32273705910984e-06
77	2597	2.06923789919078e-09	0.0025102856112138
77	335365	8.71458051628699e-10	0.0010572049780431
77	70479	4.96417250592663e-09	0.00602226105470236
78	127406	2.56099604556428e-14	3.10685954769607e-08
78	127728	8.29687261832384e-14	1.00653095325565e-07
78	128409	1.08136492318026e-08	0.0131185244973151
78	128964	8.54455630919088e-11	0.000103657857637134
78	17266	7.6182913795291e-10	0.000924209209561883
78	17318	7.6182913795291e-10	0.000924209209561883
78	18593	9.90321450953693e-12	1.20140351661722e-05
78	18981	4.37431409857911e-10	0.000530667727712075
78	18996	1.5396696477725e-09	0.00186784253484697
78	24654	5.65765192129786e-09	0.0068635521400629
78	24657	1.07483427365166e-08	0.0130392982490915
78	24659	5.65765192129786e-09	0.0068635521400629
78	24667	1.07483427365166e-08	0.0130392982490915
78	25678	2.25927168619919e-15	2.74082414975412e-09
78	26392	1.57083793716155e-15	1.90565418927785e-09
78	26533	1.57083793716155e-15	1.90565418927785e-09
78	26982	2.04341594708748e-15	2.47895983912944e-09
78	27662	6.48492837979078e-13	7.86715843930129e-07
78	28249	6.51405651625963e-13	7.90249509241779e-07
78	31082	3.33773916539856e-13	4.04916157980743e-07
78	32688	1.43526158613718e-10	0.000174118041691438
78	34548	6.67086656258989e-12	8.09272841607312e-06
78	35657	6.15628428865433e-09	0.00746846550335956
78	36403	3.39232322814364e-09	0.00411537996260631
78	37302	1.25754556706973e-08	0.015255851169628
78	37693	2.22483375600379e-11	2.69904594692722e-05
78	38030	3.09958515372179e-11	3.76024623131182e-05
78	38214	1.02911172752607e-10	0.000124846174668961
78	38379	1.86186062577135e-09	0.00225870690885138
78	41370	1.41054243442511e-09	0.00171119250161065
78	41822	2.19871623945332e-08	0.026673616123116
78	42196	6.45282662103984e-10	0.000782821435118138
78	42480	7.97747089288569e-10	0.000967782892634982
78	44355	3.93055464100154e-11	4.76833270995781e-05
78	45991	3.93055464100154e-11	4.76833270995781e-05
78	48415	1.33484571991978e-09	0.00161936141089209
78	49450	1.11752905164028e-09	0.00135572478135214
78	50108	2.4729409244283e-10	0.000300003591776557
78	51113	1.99399260471246e-11	2.41900215844389e-05
78	98980	7.66387010042892e-19	9.29738569298484e-13
78	99200	1.85377284442139e-14	2.24889525734559e-08
79	10858	2.04619094953389e-10	0.000248232631947229
79	15281	8.80993586437008e-09	0.0106877296441812
79	24014	2.08011200236118e-38	2.52347747510445e-32
80	11610	4.50470507310075e-14	5.46486043590681e-08
80	22995	1.14920046993714e-13	1.39414680410189e-07
80	4312	5.13864440116e-14	6.23392076204525e-08
81	37935	1.8900724928935e-10	0.000229293199439129
82	10049	2.05103891925628e-16	2.48820760970115e-10
82	10241	2.05103891925628e-16	2.48820760970115e-10
82	13357	7.61175575096522e-10	0.00092341634305047
82	13752	5.50736004761556e-16	6.68122630496458e-10
82	13841	5.50736004761556e-16	6.68122630496458e-10
82	13995	1.699617455761e-18	2.06188241836918e-12
82	14012	1.699617455761e-18	2.06188241836918e-12
82	14072	1.699617455761e-18	2.06188241836918e-12
82	15001	5.9985501102592e-10	0.00072771110735104
82	15765	2.19886088696556e-12	2.66753709071783e-06
82	17454	1.03415067507509e-10	0.000125457472071397
82	17618	1.70375836077493e-08	0.0206690593658231
82	17636	1.70375836077493e-08	0.0206690593658231
82	20299	3.02236875617356e-08	0.0366657154470818
82	20315	3.02236875617356e-08	0.0366657154470818
82	20366	3.02236875617356e-08	0.0366657154470818
82	20511	3.02236875617356e-08	0.0366657154470818
82	20560	3.02236875617356e-08	0.0366657154470818
82	20715	3.02236875617356e-08	0.0366657154470818
82	20859	2.12748574063883e-08	0.0258094868882729
82	20907	2.12748574063883e-08	0.0258094868882729
82	8621	3.06600382291961e-13	3.71950720775581e-07
82	8632	4.8621002791509e-11	5.89843264315051e-05
85	106084	3.76058770893826e-08	0.045621381761599
85	106094	3.76058770893826e-08	0.045621381761599
85	106143	1.03647739740205e-09	0.00125739737227131
85	106176	3.98639816041702e-10	0.000483607899631911
85	115741	3.22801880605026e-08	0.0391605487446584
85	118966	4.88839001750602e-16	5.93032590778735e-10
85	119140	1.3615636574108e-08	0.0165177414316962
85	12363	1.41882804660137e-09	0.00172124415059422
85	12610	3.26059078901898e-09	0.00395556941274443
85	14082	5.50560546880682e-13	6.67909774645565e-07
85	1445	7.71493985804871e-09	0.00935934071409251
85	182	2.06570573350683e-09	0.00250600058207514
85	30098	1.03331282409651e-09	0.00125355828598856
85	30453	1.9665569762397e-10	0.000238571876294031
85	31093	2.97733459256805e-08	0.0361193857430097
85	31150	1.91261287052619e-08	0.0232027674081449
85	42689	3.19902735327909e-08	0.0388088403849376
85	45098	4.51909621461078e-15	5.482318977274e-09
85	47365	1.76905535349738e-12	2.14612065681858e-06
85	47367	7.0317482351995e-13	8.5305302127911e-07
85	47374	7.0317482351995e-13	8.5305302127911e-07
85	47386	7.64533011688383e-11	9.27489400464704e-05
85	47437	1.07239767156543e-08	0.0130097387327125
85	47472	1.39953909553333e-08	0.0169784385605078
85	49859	4.54473876667233e-09	0.0055134271110947
85	49863	4.54473876667233e-09	0.0055134271110947
85	562	1.5580081690829e-12	1.89008982028207e-06
85	59594	7.26445020667196e-09	0.00881283144597305
85	79486	1.29166708821771e-11	1.56697946973587e-05
86	38260	1.75034647866769e-09	0.00212342407886332
86	42334	3.21670984556152e-08	0.0390233546559372
88	9541	6.47868222203733e-09	0.00785958094425348
88	9631	5.34289469564735e-10	0.00064817059855511
90	21396	3.97708969810456e-10	0.000482478648180706
90	36485	1.69369911148419e-12	2.05470260860148e-06
90	57641	3.63189441343843e-14	4.40601454819076e-08
